i,j,x,y
11,25,14.813059158663076,29.428584110492842
11,26,14.946204066987656,30.395348979993766
11,27,14.949358741158616,31.587641723298848
11,28,14.830547430180314,33.015018656913824
11,29,14.593191595303825,34.68248723447293
11,30,14.234998750532593,36.593013010861625
11,31,13.75,38.75
12,0,15.0,0.0
12,1,15.399216524794674,2.199896343303791
12,2,15.69926389493316,4.1635657026563635
12,3,15.908208067597949,5.891231964355486
12,4,16.028550480686185,7.382229843920433
12,5,16.057732901210215,8.634808419993423
12,6,15.98919772311409,9.647175451284513
12,7,15.814809569818719,10.41953695867774
12,8,15.523270180089343,10.959429780914508
12,9,15.038610616431662,11.317568578755408
12,10,14.452998037747708,11.679497056621562
12,11,14.196885520876448,12.563787908267374
12,12,13.771829014884089,13.771829014884087
12,13,13.473315093758783,15.188892472078539
12,14,13.206281713983467,16.76684193568718
12,15,13.052881756730416,18.306749495562038
12,16,13.03055173675342,19.999999072878207
12,17,13.052881811198205,21.693248757657663
12,18,13.206281807287862,23.233156566738092
12,19,13.473315196900113,24.81110642251082
12,20,13.771829096263263,26.228170329518075
12,21,14.196885565393014,27.43621180400403
12,22,14.452998037747708,28.320502943378436
12,23,15.038610616431662,28.682431421244594
12,24,15.515857173777611,29.057977164003493
12,25,15.788964428263037,29.646055991128993
12,26,15.935059378840837,30.495126659102546
12,27,15.964912737826193,31.612155063573667
12,28,15.884946700375128,32.99745097201795
12,29,15.699113300483546,34.64962423960952
12,30,15.406518592826254,36.56745509968701
12,31,15.0,38.75
13,0,16.25,0.0
13,1,16.561196596695662,2.2297036603691165
13,2,16.79109548151599,4.205708952684722
13,3,16.94655368444664,5.929947371823529
13,4,17.02804320574415,7.400235266834002
13,5,17.0303377817295,8.611525738411693
13,6,16.94292234771432,9.557499990539549
13,7,16.75525996530681,10.233728205341484
13,8,16.488765584116084,10.636708224309555
13,9,16.060807014208322,10.808549699819421
13,10,15.672907486951967,11.374190360886862
13,11,15.444901008001683,12.27171471098062
13,12,15.188892472078534,13.473315093758783
13,13,14.94068664557981,14.940686645579811
13,14,14.673369436811303,16.579565504598776
13,15,14.51915059828407,18.217729456188643
13,16,14.488972281541653,19.999998699418764
13,17,14.519150675399992,21.78226807081788
13,18,14.673369570929053,23.420432342852106
13,19,14.94068680043072,25.05931169489089
13,20,15.18889260553467,26.526683831154408
13,21,15.444901093295929,27.728284737751977
13,22,15.672907517193034,28.62580947566625
13,23,16.060807014208322,29.191450300180577
13,24,16.488765584116084,29.363291775690445
13,25,16.7405308231996,29.813761510507383
13,26,16.905717085801257,30.568011220893403
13,27,16.962640952698777,31.622210762186825
13,28,16.920400408841523,32.9720818602527
13,29,16.787339633083718,34.61179906327372
13,30,16.56568188559798,36.53755807766135
13,31,16.25,38.75
14,0,17.5,0.0
14,1,17.706215093746668,2.246546934634982
14,2,17.861812274221116,4.229811504368194
14,3,17.965455685000236,5.949673693188089
14,4,18.016369955729125,7.401815427799067
14,5,18.00973799065116,8.577105927500137
14,6,17.93552451126945,9.461481856359516
14,7,17.782326090529427,10.037942892427003
14,8,17.57464374963667,10.29857499854668
14,9,17.25278872102622,10.384760523591769
14,10,17.110927804389547,11.016754385860011
14,11,16.943919822551848,11.977128402448423
14,12,16.766841935687175,13.206281713983467
14,13,16.579565504598772,14.673369436811305
14,14,16.350506409511127,16.350506409511127
14,15,16.180602216150447,18.11329656764767
14,16,16.14514049818169,19.99999839521631
14,17,16.180602311637934,21.886700370363958
14,18,16.3505065763205,23.649490913383666
14,19,16.57956569976519,25.32662847170262
14,20,16.7668421113685,26.79371687084065
14,21,16.943919943050748,28.022870818786004
14,22,17.110927856681766,28.983245331521545
14,23,17.25278872102622,29.61523947640823
14,24,17.57464374963667,29.70142500145332
14,25,17.773496318496594,30.000678375123012
14,26,17.911718501144076,30.652171125925165
14,27,17.965025853312255,31.646274279293515
14,28,17.9440198915802,32.96435561112398
14,29,17.85729509390694,34.59215817168823
14,30,17.708220617639164,36.52160351569268
14,31,17.5,38.75
15,0,18.75,0.0
15,1,18.87928439007502,2.2602106559662722
15,2,18.966125864682684,4.250051963055457
15,3,19.024597549588535,5.9690712464740034
15,4,19.058833849332995,7.412334478471821
15,5,19.069755398387287,8.568683371395894
15,6,19.054689941856523,9.41872049055216
15,7,18.993250996700105,9.931594763131823
15,8,18.759652654107917,10.077221232863323
15,9,18.585786437626904,10.100505063388335
15,10,18.475330114078552,10.806997572744354
15,11,18.389121919134457,11.807500575365044
15,12,18.30674949556203,13.052881756730416
15,13,18.217729456188636,14.519150598284067
15,14,18.113296567647662,16.180602216150447
15,15,18.001271659430117,18.001271659430117
15,16,17.976979141801454,19.999998213900398
15,17,18.001271765678407,21.99872493369815
15,18,18.11329675285722,23.81939481159715
15,19,18.217729673848574,25.48084706929395
15,20,18.306749694481653,26.947116640974254
15,21,18.389122059250028,28.19249851912842
15,22,18.475330178127233,29.193002081111832
15,23,18.585786437626904,29.899494936611667
15,24,18.759652654107917,29.922778767136677
15,25,18.989555982607843,30.093564097954783
15,26,19.04385457000509,30.680855561144554
15,27,19.04850914218938,31.643850039430298
15,28,19.023506522020227,32.94731686647976
15,29,18.970280440927407,34.57147097347291
15,30,18.884469204857236,36.5067591128437
15,31,18.75,38.75
16,0,20.0,0.0
16,1,20.001271015215856,2.2754628118700575
16,2,20.002174106154328,4.271703859223324
16,3,20.002579096562677,5.994572441386399
16,4,20.00244518739159,7.441336683013456
16,5,20.00183383399122,8.603473198895554
16,6,20.000916111414803,9.466665663964374
16,7,20.0,10.0
16,8,20.0,10.0
16,9,19.999999960049095,10.185670497729069
16,10,19.999999763647747,10.826472976595907
16,11,19.99999944936053,11.797549155815686
16,12,19.999999072878204,13.030551736753418
16,13,19.999998699418757,14.488972281541653
16,14,19.999998395216302,16.145140498181682
16,15,19.99999821390039,17.97697914180145
16,16,19.99999818467847,19.999998184678475
16,17,19.999998321941234,22.023017394046118
16,18,19.99999858349073,23.85485648054499
16,19,19.99999892144632,25.51102533935627
16,20,19.999999277658844,26.969446613821496
16,21,19.999999596935893,28.20244989051236
16,22,19.99999983745722,29.173526624526417
16,23,19.999999974187165,29.814329436510693
16,24,20.0,30.0
16,25,20.0,30.0
16,26,20.00060414048328,30.616997737162187
16,27,20.001151892746837,31.59923393369322
16,28,20.001417489188434,32.9122520667691
16,29,20.00129768718076,34.54313271546177
16,30,20.00079365468052,36.487078089295906
16,31,20.0,38.75
17,0,21.25,0.0
17,1,21.123485448327234,2.259417356404385
17,2,21.03864612656737,4.248670105175201
17,3,20.981130407673394,5.96737843929082
17,4,20.94671543690957,7.410638859668737
17,5,20.93461210450066,8.567273434732233
17,6,20.947873520704498,9.417803887067414
17,7,21.00754876390767,9.931224146452651
17,8,21.240347345892083,10.077221232863323
17,9,21.414213562373096,10.100505063388335
17,10,21.52466948811827,10.806997585147744
17,11,21.610877066833858,11.807500606983186
17,12,21.693248757657663,13.052881811198203
17,13,21.782268070817878,14.51915067539999
17,14,21.886700370363954,16.180602311637934
17,15,21.998724933698142,18.001271765678403
17,16,22.023017394046118,19.99999832194123
17,17,21.99872503353062,21.99872503353062
17,18,21.88670054438872,23.819394895899798
17,19,21.782268275332314,25.4808471332643
17,20,21.69324894456264,26.947116683427247
17,21,21.610877198485852,28.192498542282735
17,22,21.524669548297815,29.193002089645873
17,23,21.414213562373096,29.899494936611667
17,24,21.240347345892083,29.922778767136677
17,25,21.0110133013289,30.093831741792478
17,26,20.95789349653069,30.681498870314538
17,27,20.954311680240664,31.644793099343893
17,28,20.979792689166516,32.94836589576901
17,29,21.032672041200488,34.57238340431579
17,30,21.117314708444745,36.50730228114435
17,31,21.25,38.75
18,0,22.5,0.0
18,1,22.297270418229846,2.24478440986355
18,2,22.14426119340306,4.226716821964279
18,3,22.041984205799046,5.945832197147408
18,4,21.99108708576063,7.397887470997897
18,5,21.99648751141608,8.573732161821633
18,6,22.068579167982573,9.459168674610062
18,7,22.219403092372914,10.036915904993279
18,8,22.42535625036333,10.29857499854668
18,9,22.74721127897378,10.384760523591769
18,10,22.889071880331613,11.016754405501716
18,11,23.05607933090484,11.97712845518916
18,12,23.23315656673809,13.206281807287858
18,13,23.420432342852102,14.673369570929049
18,14,23.64949091338366,16.350506576320495
18,15,23.819394811597142,18.113296752857213
18,16,23.85485648054499,19.999998583490722
18,17,23.819394895899798,21.886700544388717
18,18,23.64949106065281,23.649491060652807
18,19,23.420432515154516,25.326628582957106
18,20,23.2331567218364,26.793716943562885
18,21,23.0560794372848,28.02287085740831
18,22,22.889071926496193,28.983245345035737
18,23,22.74721127897378,29.61523947640823
18,24,22.42535625036333,29.70142500145332
18,25,22.227798572489284,30.001435840078543
18,26,22.091239312548094,30.65382592876331
18,27,22.03921947098386,31.64857204415406
18,28,22.060657916934552,32.96682938370117
18,29,22.146754143453116,34.59426703012207
18,30,22.294182835239088,36.52284435608516
18,31,22.5,38.75
19,0,23.75,0.0
19,1,23.443524829380674,2.226733498025174
19,2,23.21722691428129,4.2004600936546685
19,3,23.063849663806067,5.923357307001861
19,4,22.982724099627358,7.393371051435449
19,5,22.979113637078598,8.605448899377503
19,6,23.06383341030457,9.553110389506843
19,7,23.2480136447887,10.231576420413182
19,8,23.511234415883916,10.636708224309555
19,9,23.939192985791678,10.808549699819421
19,10,24.327092335884842,11.374190377416099
19,11,24.5550984097518,12.271714765305582
19,12,24.811106422510814,13.473315196900106
